,postal_code,State,City,CountyName,2016,2017,2018,2019,2020,2021
333,37066,TN,Gallatin,Sumner County,233882,254495,276047,286100,292768,350825
334,98115,WA,Seattle,King County,691326,786497,863904,827371,877148,1000224
335,42101,KY,Bowling Green,Warren County,120851,131826,142601,151127,149984,157345
336,93727,CA,Fresno,Fresno County,228182,247361,267748,278928,295975,355386
337,94568,CA,Dublin,Alameda County,878560,917381,1000583,980261,1004557,1226435
338,19124,PA,Philadelphia,Philadelphia County,85241,92213,103820,115807,130006,150663
339,95051,CA,Santa Clara,Santa Clara County,1139396,1275879,1568430,1420746,1472447,1652058
340,91335,CA,Los Angeles,Los Angeles County,472131,506122,550657,560081,607499,723301
341,95687,CA,Vacaville,Solano County,375934,405006,435866,444110,461341,544809
342,32828,FL,Orlando,Orange County,258567,276315,296247,306322,321230,374815
343,32225,FL,Jacksonville,Duval County,206113,223751,239914,249704,263122,313654
344,76116,TX,Fort Worth,Tarrant County,166483,183633,199559,208914,218820,258814
345,90731,CA,Los Angeles,Los Angeles County,527648,563016,597504,611635,656951,751134
346,77840,TX,College Station,Brazos County,173405,185099,192554,194548,203158,222368
347,77007,TX,Houston,Harris County,428840,423435,426716,426082,428612,461418
348,85251,AZ,Scottsdale,Maricopa County,275563,297338,323960,345593,385018,495646
349,23452,VA,Virginia Beach,Virginia Beach City,235815,239928,243443,248664,265890,298630
350,75150,TX,Mesquite,Dallas County,131561,148976,169726,185695,193692,227611
351,30253,GA,McDonough,Henry County,159959,168835,181714,194236,211480,260551
352,37122,TN,Mount Juliet,Wilson County,300182,323176,348320,357203,367717,424898
353,30135,GA,Douglasville,Douglas County,158440,172097,186567,199860,215489,266830
354,73160,OK,Moore,Cleveland County,135808,139169,142153,147750,157381,175402
355,89031,NV,North Las Vegas,Clark County,195282,216211,254795,271888,283583,339846
356,93550,CA,Palmdale,Los Angeles County,223182,249262,276389,288838,312590,378629
357,43068,OH,Reynoldsburg,Franklin County,145529,158018,171918,185151,200416,234046
358,93536,CA,Lancaster,Los Angeles County,299832,326717,357456,366257,394782,476030
359,29681,SC,Simpsonville,Greenville County,228667,240275,252567,260643,271568,307301
360,60615,IL,Chicago,Cook County,217589,235680,244774,247535,255665,281652
