,postal_code,State,City,CountyName,2021
584,53711,WI,Madison,Dane County,377643
585,75204,TX,Dallas,Dallas County,434940
586,7305,NJ,Jersey City,Hudson County,423034
587,7047,NJ,North Bergen Township,Hudson County,450185
588,90036,CA,Los Angeles,Los Angeles County,1962094
589,94112,CA,San Francisco,San Francisco County,1254959
590,33463,FL,Greenacres,Palm Beach County,309006
591,75068,TX,Little Elm,Denton County,359243
592,76137,TX,Fort Worth,Tarrant County,279715
593,89147,NV,Las Vegas,Clark County,349060
594,78759,TX,Austin,Travis County,720414
595,45140,OH,Loveland,Clermont County,328416
596,28025,NC,Concord,Cabarrus County,270031
597,94087,CA,Sunnyvale,Santa Clara County,2402314
598,27603,NC,Raleigh,Wake County,335205
599,30075,GA,Roswell,Fulton County,538174
600,2151,MA,Revere,Suffolk County,503572
601,97124,OR,Hillsboro,Washington County,503344
602,10014,NY,New York,New York County,2016291
603,95125,CA,San Jose,Santa Clara County,1611620
604,38654,MS,Olive Branch,DeSoto County,279722
605,90640,CA,Montebello,Los Angeles County,660130
606,75071,TX,McKinney,Collin County,437407
607,33436,FL,Boynton Beach,Palm Beach County,339972
608,98109,WA,Seattle,King County,807662
